Date,ILS_pca,ILE_pca,ILP_pca,ILS_a,ILE_a,ILP_a,Noise_bp
2008-01-02,-0.9091954401587847,-0.8205257038414776,0.2730409577212458,2.2789037180335,0.7927002685377376,0.21870134454508688,4.49763752
2008-01-03,-1.0610521406460063,-0.970859489845775,-0.4666744298673108,2.1249963481305,0.754421223011817,0.18594619669187687,4.52205681
2008-01-04,-0.8451840191299949,-0.667146846587842,0.2053448245658079,2.3435229809345,0.8318529802170015,0.21511509664345616,4.73189484
2008-01-07,-0.9712769425319168,-0.9236802047879089,-0.08154417830216726,2.237543749951,0.7834386806491389,0.2031054843555972,4.31841311
2008-01-08,-1.050241813160221,-1.0155013029720799,-0.27395620454562253,2.156235058728,0.758565161543652,0.19410693607916957,4.23239395
2008-01-09,-1.1360122870425091,-1.1202318168441332,-0.27331567054202544,2.0693923747230003,0.7298843461580335,0.19612454455778872,4.26392742
2008-01-10,-1.061905192164332,-0.8777825345975572,0.05789965544783388,2.137074460413,0.7705211178345406,0.20777402773571851,4.24655157
2008-01-11,-1.0431775639686285,-1.0032488036789304,-0.2094559361368842,2.1655779393195003,0.7673295497981321,0.1982243073258712,4.12036708
2008-01-14,-1.1367881150798052,-1.1341337689962583,-0.48768487153119,2.066627928735,0.735183029598423,0.18671947926472937,4.01630839
2008-01-15,-1.1210147374353003,-0.9742995417004267,-0.2178157679215161,2.0830436399725,0.7597699543028029,0.1981962236767933,4.07241407
2008-01-16,-1.0373954369533966,-0.9362830268945365,0.020015771042094285,2.161028328719,0.7737020289620774,0.21097142939167685,3.88379787
2008-01-17,-0.8028904681886008,-0.7067233754604019,-0.06319250031683361,2.3876070779415004,0.8251911713779636,0.20622074164249468,4.01550236
2008-01-18,-0.7947659910435186,-0.7044105634801272,-0.13914202626535677,2.3714061040205,0.8225101994970684,0.20351814153472242,4.39002051
2008-01-22,-0.5342107656777341,-0.2092606368033654,1.0120768743679356,2.6256188670095,0.9508384652214168,0.25521925640086235,4.4044047
2008-01-23,-0.7976776734322915,-0.5174433205180942,0.08857135463956042,2.374759572817,0.8318122356842123,0.21306909050861866,4.03345315
2008-01-24,-0.8606184731175532,-0.6873453456454169,0.046036802718416814,2.3359411338509997,0.8206099679744798,0.20964976145960845,3.92050664
2008-01-25,-0.8520736589084212,-0.7761164956616332,-0.1485741533305371,2.3053904928230002,0.8194974901299649,0.19791566514106057,3.75140171
2008-01-28,-0.8178092319803851,-0.7324715652315722,-0.3331003339222372,2.354718985727,0.8262603991084009,0.192293901064316,3.81606555
2008-01-29,-1.0194262986117966,-0.9900212668524839,-0.2475475062288726,2.1865854940755,0.7716763187379481,0.1958181734727653,3.72613993
2008-01-30,-0.7196710601343558,-0.4257500260407613,0.4281916375660704,2.4890251385080004,0.8814592210703134,0.22786522779603252,3.95698096
2008-01-31,-1.0118122083041547,-0.9398326803063893,-0.21932372186700802,2.193425241095,0.7776021809367197,0.19826060983736732,3.76173833
2008-02-01,-0.8323875251265893,-0.6422436716344211,0.14113836861864512,2.3737194875189997,0.8391381311731583,0.21433277999277872,3.82622539
2008-02-04,-1.0524459596743918,-0.953400506459264,-0.3739749437975048,2.1547312988235,0.7717178502766254,0.18975266163291793,3.82262339
2008-02-05,-0.9330969104499918,-0.9355566138211455,-0.2718605604630544,2.2399898870565,0.7682581774853647,0.19591575888802656,4.04112747
2008-02-06,-0.6877378595504285,-0.6774961869125415,-0.012035420103032416,2.35536267581,0.8061304246675884,0.2063866432239776,4.13450925
2008-02-07,-0.680696836887629,-0.49141510128626437,0.015080373743543556,2.490068145888,0.849446586554552,0.20733282267842923,3.99221752
2008-02-08,-0.7772899691298556,-0.7778410121439856,-0.005198940068238996,2.364204580664,0.8241975536471278,0.20590290587845614,4.15328375
2008-02-11,-0.8803878014522206,-0.889428195673667,-0.46016334767008416,2.266256198621,0.7913132807378678,0.18744325610446866,3.91821303
2008-02-12,-0.6461365365499675,-0.4203371377817261,-0.33783187272249976,2.078486755768,0.7356484726412865,0.19146203468699913,3.89611446
2008-02-13,-1.056953294077779,-1.0599800263681507,-0.20135832510907917,2.137793171482,0.7470595611055129,0.19799823571882,4.07223751
2008-02-14,-1.141789655724612,-1.0433187141741895,-0.3933531014949387,2.049141489,0.7551612692184393,0.1905433372366707,4.1416207
2008-02-15,-1.0641986749483257,-0.9546377252729981,-0.34342033308078407,2.0838805084920002,0.7602645287100164,0.18928806910877927,3.96718067
2008-02-19,-1.1341838186187627,-1.1988148301317854,-0.4369481201779969,1.9576438892225,0.7086828440043473,0.18722773757651479,4.03460121
2008-02-20,-1.081070651926476,-1.0174268674148044,-0.5596797826160086,2.091452547688,0.7551250754769232,0.1815280131759673,3.97738933
2008-02-21,-0.9616854722863547,-1.0027510635550152,-0.5230729021746972,2.1032528427355,0.7589810285373546,0.18197336217693075,4.23752066
2008-02-22,-0.9290131077373953,-0.9974610439261681,-0.4311284383528484,2.121565344279,0.7594727787761593,0.18365886018201188,4.29315524
2008-02-25,-1.3273893456203134,-1.261376306589859,-0.7255855000978614,1.8421060445105,0.6727969193348844,0.1746857004378758,4.13009323
2008-02-26,-1.1523502550386935,-1.1110366719614206,-0.4186406249683636,2.0193519390925,0.7310771154005369,0.1855460512234431,4.37297516
2008-02-27,-0.863591596494457,-0.6873903976485778,-0.3211879964257013,2.187495950104,0.7826913379842229,0.19019216705828035,4.29017099
2008-02-28,-1.0353063415006678,-1.0372206971693316,-0.3445519017930599,2.111379356929,0.7477457505849529,0.19174377977658616,4.36061939
