Date[G],GMT Offset,Price,Bid Price,Ask Price,mid,indicator,ILS,ILE,ILP,Return
2008-01-01,0.0,0.8765711656441718,0.876402927927928,0.8766581081081081,0.8765305180180181,0.0472972972972973,0.0002911680614542776,9.835253547931414e-05,2.5921883249003272e-05,0.0009699598512443175
2008-01-02,0.0,0.8810874193548387,0.8809701313112632,0.8811504099623944,0.8810602706368288,0.02539917391036311,0.00020462997335799038,7.48845054591819e-05,2.1344811259094113e-05,0.00800844878814104
2008-01-03,0.0,0.8816004997437211,0.8815033666545812,0.8816706790283316,0.8815870228414565,0.008805096597089139,0.00018979359868650353,7.006752688717752e-05,1.853986359156677e-05,-0.0022088191802659557
2008-01-04,0.0,0.8781829787234043,0.8781896854593948,0.8783735169686379,0.8782816012140164,0.0070817621631564425,0.00020931376099417342,7.610897077729173e-05,2.1032837303402154e-05,-0.010200971775069567
2008-01-06,0.0,0.8720832041343669,0.8718782459157352,0.8721643164230438,0.8720212811693895,0.09028374892519346,0.000328082317518947,9.985912088591191e-05,2.3771307921248083e-05,0.002121742918285846
2008-01-07,0.0,0.8718985173501577,0.8718740064763026,0.8720460994995585,0.8719600529879306,0.001934480003364313,0.00019736198639281125,7.182284848120442e-05,1.9851250554977977e-05,-0.0012610342150280729
2008-01-08,0.0,0.879289052532833,0.8792550790421036,0.879424780873376,0.8793399299577399,0.016356237282829863,0.00019299784134104106,7.091429892867132e-05,1.8912808556340938e-05,0.00868031262661259
2008-01-09,0.0,0.8824692876344086,0.8823540113277889,0.8825194185546315,0.8824367149412102,0.01605965012905076,0.00018744831904664912,6.995609466412297e-05,1.9919952834385845e-05,0.004142202421586874
2008-01-10,0.0,0.8876150176350472,0.8874530952380952,0.887622224958949,0.8875376600985221,0.03045977011494253,0.0001904993927098609,7.031861785644877e-05,1.9799752269901094e-05,0.012938974393451694
2008-01-11,0.0,0.894158482092736,0.8940690351157586,0.8942450705511668,0.8941570528334627,0.01648477099410932,0.00019688170000808485,7.238318331051546e-05,1.97081437524871e-05,-0.0041445032721496855
2008-01-13,0.0,0.8902469444444444,0.8901218475073314,0.8904184261974585,0.890270136852395,0.053763440860215055,0.00033316046733982313,0.00010875990099787415,2.4976391114341874e-05,0.002579199635568699
2008-01-14,0.0,0.8977974047718711,0.8975878448961054,0.89776018508005,0.8976740149880776,0.017883501759963664,0.00019201661504305244,6.893981934303839e-05,1.910313232044113e-05,0.006141153735447338
2008-01-15,0.0,0.8938403958090804,0.8939815999999999,0.8941578451612903,0.8940697225806452,0.009612903225806452,0.00019732242618659369,7.200810362285973e-05,2.008705500032745e-05,-0.0164996166891989
2008-01-16,0.0,0.8805102314390467,0.8803924359385406,0.8805751917527808,0.8804838138456607,0.0059190568969344215,0.00020758685592625335,7.523696267309903e-05,2.207054049552862e-05,-0.005389931065206549
2008-01-17,0.0,0.8822828007327499,0.8821818686526743,0.8823693297224102,0.8822755991875423,0.004793500338524035,0.00021253753711819454,7.657100753436862e-05,2.10431124659526e-05,-0.00696469105173847
2008-01-18,0.0,0.8780390306298831,0.8780081051932969,0.8782040124993087,0.8781060588463028,0.0034566672197334216,0.0002231030844478135,7.835305918010582e-05,2.1126450156421525e-05,0.00696469105173847
2008-01-20,0.0,0.880449494949495,0.8800147034930951,0.8803604386677498,0.8801875710804224,0.06011372867587327,0.0003929731568861243,0.00012150601774788768,3.208364844830417e-05,0.002443252444140065
2008-01-21,0.0,0.8681274865006097,0.8679370178985996,0.868146379090841,0.8680416984947203,-0.013779674979405377,0.00024131041046419131,8.409879468967938e-05,2.4008842583379703e-05,-0.027268141389879208
2008-01-22,0.0,0.8624058206429779,0.8623615636529453,0.8625713924470423,0.8624664780499938,0.01249844546698172,0.00024322646753625548,9.067590586965318e-05,2.5775197260735585e-05,0.017115190839283395
2008-01-23,0.0,0.8672266503958569,0.867027548112855,0.8672269875747384,0.8671272678437967,0.005909005979073244,0.0002299683209740043,8.130347768047186e-05,2.1994549486427665e-05,0.00045847900396223107
2008-01-24,0.0,0.8759627347508925,0.875868596657206,0.8760542951750236,0.8759614459161148,0.024219489120151372,0.0002119960511008412,7.722362607086501e-05,2.0704114055247303e-05,0.011280885355442236
2008-01-25,0.0,0.8826373372334403,0.8824789289586904,0.882668407429431,0.8825736681940607,0.0130119976214628,0.00021472732366698477,7.651416182794729e-05,1.908941410755169e-05,-0.0020986366569211157
2008-01-27,0.0,0.880024064171123,0.879750138888889,0.8801477777777779,0.8799489583333334,0.020833333333333332,0.000451945737265638,0.0001261100012648877,2.4366511354082616e-05,0.0013635590999708236
2008-01-28,0.0,0.8823355434122647,0.8820998791709267,0.8822896365833256,0.8821947578771262,0.01686959754624036,0.0002151400022428396,7.637449570886355e-05,1.8886395348386185e-05,0.008819595839394373
2008-01-29,0.0,0.8883173207682215,0.888257451665502,0.8884333193570929,0.8883453855112974,0.012345679012345678,0.00019797352391249417,7.314771237220815e-05,1.916142741170431e-05,0.0
2008-01-30,0.0,0.8913135135135135,0.890785196164544,0.8909835273020056,0.8908843617332748,0.0017200995461865026,0.00022263355602437956,8.100017042292526e-05,2.286248263385109e-05,-0.003665589893206922
