Date[G],GMT Offset,Price,Bid Price,Ask Price,mid,indicator,ILS,ILE,ILP
2008-01-02,0.0,110.21816993464053,110.12305919003116,110.19096806853582,110.15701362928348,-0.000778816199376947,0.06790887850467267,0.05781045751634023,0.0016355140186915622
2008-01-03,0.0,109.18359813084112,109.23258470079189,109.29888807249571,109.2657363866438,0.0016327863499061147,0.0663033717038126,0.05528037383177576,0.000981595092024519
2008-01-04,0.0,108.80497872340425,108.75391206648011,108.82126727719834,108.78758967183921,-0.0009327567200881879,0.06735521071822292,0.051234042553191576,0.00017663043478244805
2008-01-08,0.0,109.43195067264574,109.3918980298409,109.44556714203281,109.41873258593685,-8.24334350012365e-05,0.05366911219190497,0.033699551569507685,0.0010989010989012706
2008-01-09,0.0,109.42375,109.3711892014519,109.424972323049,109.39808076225046,-0.0007259528130671506,0.053783121597096174,0.04067164179104565,0.00024111675126910477
2008-01-10,0.0,109.57436585365853,109.52752439580483,109.58566666666667,109.55659553123576,-0.0028271773825809393,0.058142270861833205,0.06380487804878165,0.0010062893081759898
2008-01-13,0.0,108.77,108.72425806451612,108.78890322580645,108.75658064516129,-0.0064516129032258064,0.06464516129032118,0.020000000000010232,0.06499999999999773
2008-01-14,0.0,107.96326086956522,108.04305677524763,108.09872817318492,108.07089247421628,-0.0013274788113958951,0.055671397937302185,0.02427536231883882,0.0006617647058825034
2008-01-15,0.0,107.15969387755102,107.32044441874807,107.37660037002776,107.34852239438791,-0.002389762565525748,0.05615595127967939,0.04818594104308519,0.001590909090909234
2008-01-16,0.0,106.61020481927712,106.62658432413713,106.68788266189542,106.65723349301628,0.001558351610296664,0.06129833775828249,0.045397590361445035,0.00021915584415592166
2008-01-17,0.0,107.2172131147541,107.13407756576719,107.19957773512476,107.16682765044598,0.0,0.06550016935757041,0.04770491803278741,0.00026315789473682714
2008-01-18,0.0,107.19408366533865,107.02424689154253,107.10821186753662,107.06622937953958,-0.0014157331035331774,0.08396497599409099,0.05657370517928316,8.670520231205988e-05
2008-01-21,0.0,106.03687969924813,105.9596045034642,106.13330687066976,106.04645568706697,-0.0067840646651270205,0.17370236720554294,0.1390601503759416,0.00011904761904751078
2008-01-22,0.0,106.36120418848168,106.29471116203571,106.38474625226773,106.33972870715172,0.00014322543683758235,0.09003509023202495,0.051308900523559374,0.0
2008-01-23,0.0,105.91797872340426,105.91344548084597,105.99439520151635,105.95392034118116,-0.004688747007182761,0.0809497206703911,0.11360372340425579,0.001280737704918091
2008-01-24,0.0,106.60321428571429,106.50388311206015,106.56554219663913,106.53471265434963,-0.0009284189026088571,0.06165908457896199,0.06303571428571395,0.0
2008-01-25,0.0,107.3907594936709,107.33770714716323,107.42565175162436,107.3816794493938,0.001473641905017081,0.08794460446111577,0.031930379746834825,0.0
2008-01-27,0.0,106.75699999999999,106.64697916666667,106.75207175925925,106.69952546296297,-0.0023148148148148147,0.10509259259259432,-0.929000000000002,0.0
2008-01-28,0.0,106.62673553719007,106.54206062401263,106.6180129344392,106.5800367792259,-0.0006417851500789889,0.07595231042654035,0.03615702479339007,0.0002045454545453977
2008-01-29,0.0,106.84558823529412,106.77732901570616,106.83103435329454,106.80418168450034,0.0010637632188223516,0.05370533758838613,0.025267379679144202,0.0006944444444443392
2008-01-30,0.0,106.95306629834255,106.91978520489019,106.9752380009056,106.94751160289789,-0.0001697985057731492,0.05545279601539532,0.06682320441989012,0.0007608695652174936
2008-01-31,0.0,106.34434250764525,106.33924524096116,106.39565445142881,106.367449846195,-0.0005795550800231822,0.056409210467656484,0.03903669724770595,0.0005415162454873338
2008-02-01,0.0,106.36146341463414,106.33263686023038,106.38889947749674,106.36076816886356,0.0008312551953449709,0.05626261726635804,0.05222560975609893,0.006690647482014336
2008-02-04,0.0,106.86405511811024,106.79619717792313,106.84647240390974,106.82133479091645,0.0015433232894833543,0.05027522598662435,0.030275590551179975,0.000906862745097911
2008-02-05,0.0,107.18829317269076,107.01459208093115,107.08901310779942,107.05180259436527,0.0007070597193516807,0.07442102686826928,0.047469879518072834,0.0009708737864077118
2008-02-06,0.0,106.57714566929134,106.45552689037002,106.61518846242244,106.53535767639623,-0.0014939094461043439,0.15966157205240164,0.08692913385826777,0.0005512820512819872
2008-02-07,0.0,106.81855932203389,106.59685937319968,106.67750662518723,106.63718299919346,0.0006337135614702154,0.08064725198755614,0.09090395480225782,0.0001655629139072283
2008-02-08,0.0,107.40649038461538,107.35657334188217,107.45703426658118,107.40680380423167,0.000284961174040037,0.1004609246990099,0.023461538461539807,0.0002307692307690209
