Date,ILS_AUD/USD,ILS_USD/CAD,ILS_USD/JPY,ILE_AUD/USD,ILE_USD/CAD,ILE_USD/JPY,ILP_AUD/USD,ILP_USD/CAD,ILP_USD/JPY
2008-01-02,-0.6260858395741138,-0.4952788916370269,-0.4577765629942632,-0.5939342643550005,-0.4717043925072201,-0.322435126553023,-0.10680571639162884,0.6651517353217331,-0.2076658752640966
2008-01-03,-0.7302460870470268,-0.6215670030492735,-0.46203425822991206,-0.7163630821944684,-0.5702812935228259,-0.33586800615332135,-0.4522924526925416,-0.13557112186500903,-0.20872525135451175
2008-01-04,-0.5932028415302847,-0.4300160657672879,-0.45703616363705346,-0.5628131291577483,-0.2423118336107524,-0.3646305652173682,-0.1452316966730774,0.5785243031143886,-0.1753115330396873
2008-01-07,-0.6771114666347497,-0.503230808485703,-0.5180032796995844,-0.671749649837973,-0.4297107162521061,-0.5338333072612959,-0.2907682976212655,0.3176782455460161,-0.23631152723623533
2008-01-08,-0.7077503820484627,-0.5974619290032769,-0.5131289892341705,-0.6948414377715285,-0.570905790125532,-0.49381381148625736,-0.4063566442668293,0.1335827781562847,-0.23324010529529426
2008-01-09,-0.7467113565684331,-0.6910706919120946,-0.5126352959352346,-0.719195254921389,-0.7368179033774384,-0.44325542324753064,-0.2823062052393487,0.004558797560263542,-0.22799549563902272
2008-01-10,-0.7252909897432667,-0.6080248482165845,-0.4954988501621672,-0.7099813285539794,-0.4671882153640935,-0.2760679559265946,-0.29711136585112335,0.528265668142749,-0.21472938226570348
2008-01-11,-0.6804833650807411,-0.6134233364615884,-0.5151908478322701,-0.657508122764232,-0.5610442728404311,-0.545074170471034,-0.3083948304466058,0.1395974846295815,-0.24194377861855298
2008-01-13,0.2762753070999452,0.5338462325249042,-0.46759503883861386,0.26704623776744696,0.17830716124034657,-0.5926005941432064,0.3404976990448934,1.118186000918208,-0.1306335424324121
2008-01-14,-0.7146391790956031,-0.7316314180512828,-0.502282443199162,-0.7450250119568326,-0.6647294754341193,-0.5599277285206194,-0.3829143758563653,-0.2229117481996203,-0.23482626061712333
2008-01-15,-0.6773892030069804,-0.7476513267351224,-0.49881946299231517,-0.6670411862954199,-0.6005204250162666,-0.38110253306436237,-0.2617241521021966,0.05740485005827213,-0.20763981301739318
2008-01-16,-0.6053267507209467,-0.7054168851324598,-0.4762292385366642,-0.5849761759197198,-0.615884064921205,-0.39935340660273694,-0.01741730168550483,0.17957454179606713,-0.20864294432799524
2008-01-17,-0.5705699998617327,-0.38571813705245894,-0.4600865513660927,-0.5510699558963884,-0.3046213810468088,-0.38385006142946243,-0.1439661000219846,0.1960953374890174,-0.23593720247785935
2008-01-18,-0.4963935215155924,-0.4950621470457351,-0.38428361610283907,-0.5057771498240334,-0.38512125800716157,-0.3187474808795142,-0.1337013571092064,0.06274610953059905,-0.2290037739172157
2008-01-21,-0.3685671740633641,-0.21037125757028047,-0.011484832872361612,-0.35974295109546495,0.1331143190824792,0.30084449469411223,0.22132428698992332,0.6310768906368943,-0.17114032150450922
2008-01-22,-0.35511530436996214,-0.2517606895718132,-0.35672690593680706,-0.19257842367929257,0.07820069652439908,-0.3542561983951755,0.43888703145548835,1.2792958105867942,-0.23702420309676056
2008-01-23,-0.4481954440629154,-0.5441240620532397,-0.3931807790730892,-0.4307890128140726,-0.4229713272933017,0.11646088516209004,-0.026777150365193753,0.2854923483959066,-0.1916532242494594
2008-01-24,-0.5743715564289054,-0.46327021937216945,-0.47421060818042965,-0.5344829367247151,-0.35909919434109017,-0.2664898450796486,-0.1857206952615506,0.4151462568993216,-0.24541751538204465
2008-01-25,-0.5551963850880677,-0.5332957353031075,-0.36792388884472504,-0.5525147521586887,-0.34218946259944827,-0.5028612621835031,-0.38460405465284425,0.25865617321137907,-0.15593529327818056
2008-01-27,1.1102191367511944,3.019894139845712,-0.2960574167264609,0.7080181526998344,1.415987532820067,-7.712775205546919,0.2653785193370956,0.3743257737658564,-0.27211438860671844
2008-01-28,-0.5522991340045281,-0.458426082853078,-0.40891520789900665,-0.5560645204617963,-0.2903719365915271,-0.46911780571357015,-0.4096099716344549,0.061721547388796545,-0.2605907152717221
2008-01-29,-0.6728181065119904,-0.5887940446266413,-0.5077580584979592,-0.6380767742897037,-0.5574042892116851,-0.5506853337013793,-0.3757341417806849,0.153595842671923,-0.24936292816917277
2008-01-30,-0.4996898926217766,-0.30503053009484254,-0.5008492678380717,-0.43849790095390717,-0.06764603734003374,-0.24168828760809374,0.08012658759118454,0.7325053071293524,-0.23359023628985504
2008-01-31,-0.606994612240088,-0.652217414621092,-0.49568347660635825,-0.5690650394218458,-0.6105363375528986,-0.44684221663682955,-0.2787879563034652,0.08976979150736401,-0.23526440481187205
2008-02-01,-0.5456557865358979,-0.43582318298333494,-0.4962480644433323,-0.4980267656876765,-0.28023089597947165,-0.3478693184031255,-0.10880942110734253,0.48187332121388143,-0.24045595856241955
2008-02-04,-0.7516872125646052,-0.5502772685774224,-0.5218021341840882,-0.742425709267286,-0.4145502483612005,-0.51333444193231,-0.4640606806970812,0.04757734153932971,-0.251018400588743
2008-02-05,-0.6655161060806064,-0.5124371683255267,-0.4231277617714978,-0.6782348975980976,-0.5262773180754987,-0.3859137398333805,-0.3064448368386838,0.03752329469817764,-0.23763512212057764
2008-02-06,-0.5562007742716552,-0.45300487764886027,-0.0721375265248369,-0.578771799199029,-0.39914892200968183,-0.09053667310742626,-0.21314582614707078,0.3232417618035057,-0.19858900440988156
2008-02-07,-0.4661384189010962,-0.3412289561192004,-0.3967286058148136,-0.48963046842825875,-0.22011110562812977,-0.061112607075045,-0.24908672914860075,0.426062488219021,-0.2366024035270821
2008-02-08,-0.48012167120139193,-0.5248264662424346,-0.3170709452529512,-0.5536617361830121,-0.30798096003166253,-0.5650613476253212,-0.31686670239974074,0.48255873573388575,-0.26679776923676146
2008-02-11,-0.6369071363085325,-0.5031051440278236,-0.3508474216637654,-0.5772858747246625,-0.5040825602994267,-0.4816902527429198,-0.42187385285719387,-0.12436028981659224,-0.26007512134443034
2008-02-12,-0.7418114011580387,-0.6821926693299499,0.7411392854027617,-0.7572477656327835,-0.6447978167536241,1.351618216014014,-0.4187627311101039,0.042043008248613435,-0.22599461749838326
2008-02-13,-0.7245880058594717,-0.6076794441595517,-0.4843839386154434,-0.7364135790909699,-0.594013487617701,-0.49872897814477024,-0.3391517556199617,0.18330836350212343,-0.24138404446638972
2008-02-14,-0.7111750984436522,-0.763238530346418,-0.46841804016580274,-0.6674325821924064,-0.6319925189551133,-0.511622143984441,-0.37415431083316664,-0.07464443177763072,-0.2508204699498741
2008-02-15,-0.7224722496189063,-0.6954659386507105,-0.3600116150562819,-0.6977792738046193,-0.5550900766101213,-0.35201314680086654,-0.552911005620773,0.18190647397879525,-0.2444154221911312
2008-02-18,-0.7528061646037761,-0.17782362898730605,-0.13672966593795258,-0.7586465935172603,-0.26297004928859413,-0.04179541320334063,-0.3675423969037551,0.4804453800529125,-0.2684495562956149
2008-02-19,-0.8002738630561929,-0.8076586605060414,-0.2200394245311761,-0.7898613933320625,-0.7875132607805297,-0.4397401047530411,-0.478381093531954,-0.035511299281372706,-0.25190307743170154
2008-02-20,-0.7270595277768861,-0.6782964822478765,-0.42479322277034237,-0.7170654192015254,-0.5644335516284196,-0.4703359885160593,-0.5443751949737394,-0.16464802967135145,-0.24385919016720065
2008-02-21,-0.7263606508421132,-0.6603928094271831,-0.14472806578944641,-0.7148676424653836,-0.5406570509876648,-0.4761559102464835,-0.5973679682266588,-0.05364601730749975,-0.24343120108247113
2008-02-22,-0.740175934537216,-0.6157996316572836,-0.11027295422435139,-0.7339597927212802,-0.5111574524911867,-0.47898334496411155,-0.6817971384356163,0.16492678871847613,-0.2255737662702536
2008-02-25,-0.823664518849762,-0.9642870304524455,-0.4211066451128645,-0.8070454115681688,-1.0132597626032311,-0.1841177352336824,-0.6034924311141969,-0.354564358014008,-0.2575870205588557
2008-02-26,-0.8221547583874643,-0.6852262442744919,-0.43443723161583275,-0.8172508933083791,-0.5945667861555528,-0.49010219107558256,-0.6165873320260871,0.1324392172300434,-0.24898707725087438
2008-02-27,-0.7949200131907842,-0.44960442831147984,-0.1231211945923743,-0.7589848994780074,-0.31571671227087983,0.06133153860259221,-0.5253707497867497,0.1727633353167191,-0.21932243264315687
2008-02-28,-0.756659960273106,-0.6133384048188497,-0.36297072342697756,-0.7517998317580642,-0.5682266716671768,-0.4546526291285463,-0.40054299196585147,0.022469134300836028,-0.24122318956158428
2008-02-29,-0.6281020900750636,-0.3493601217800225,-0.19867153153598355,-0.5656237966527872,-0.11071305382140377,-0.3512238010385968,-0.1675699151371793,0.8862219833046908,-0.22403517621337
2008-03-02,-0.10220073393282686,2.117419121730792,-0.4367990184398725,-0.05719909526340787,1.7320221328588465,-0.5073915861001028,0.3976155850629343,0.6534169861033967,-0.23941704666984
2008-03-03,-0.6583630804375643,-0.5413808823609284,-0.4900843387536849,-0.6636079985958624,-0.47634039601214245,-0.3565024453510397,-0.30573594474756316,0.09876012078359105,-0.23774143718464863
2008-03-04,-0.6978312150022041,-0.6803367534973862,-0.35481691493373796,-0.709731127480972,-0.6693008802584478,-0.5844312725094974,-0.15826470589544145,0.06199440947647377,-0.2404898757361894
2008-03-05,-0.6812738125433007,-0.6565409006018516,0.0703092672664303,-0.6544643637111575,-0.5825023874814246,-0.09309621802089683,-0.33626251248415867,-0.026847061934047598,-0.16523586688343544
2008-03-06,-0.691112980126343,-0.5092042491927168,0.8049436927927716,-0.7015890514374437,-0.21813015846644168,0.4113479398680632,-0.4783351595401839,0.39002973543682984,0.13733751462629837
