Date[G],AUD_Jumps,AUD_RV,CAD_Jumps,CAD_RV,JPY_Jumps,JPY_RV,AUD_Jumps_sqrt,AUD_RV_sqrt,CAD_Jumps_sqrt,CAD_RV_sqrt,JPY_Jumps_sqrt,JPY_RV_sqrt
2008-01-02,3.1521104643889987e-06,4.02166053627778e-05,9.007912391133305e-06,6.20611694971542e-05,0.00011378305651429043,0.00017471876783094073,0.001775418391362723,0.00634165635798549,0.0030013184421406043,0.007877891183378595,0.010666914104570751,0.013218122704489497
2008-01-03,1.6065277535954887e-06,4.366757915424461e-05,7.007748478903804e-06,5.335600002979419e-05,0.00019476359017307922,0.0003394580613143843,0.0012674887587649402,0.006608144910203211,0.0026472152309368053,0.007304519151168966,0.013955772646940019,0.018424387678139652
2008-01-04,2.8624663446485103e-05,9.183408412950935e-05,6.248562023164795e-06,0.00010712735591209421,0.0003478106698094809,0.0006341540177314096,0.005350202187439751,0.009583010181018767,0.0024997123880888365,0.010350234582466922,0.018649682834018407,0.02518241485107037
2008-01-06,6.825877752087956e-07,1.0470838020647286e-05,2.0962884310073936e-06,4.2703958833486364e-06,1.0678036977533796e-07,2.962326635986234e-07,0.0008261887043580271,0.003235867429399308,0.0014478564953086315,0.0020664936204471177,0.0003267726576311702,0.0005442726004481793
2008-01-07,9.269624375667836e-06,6.203032039030455e-05,4.210580758021699e-06,8.622463052350512e-05,2.5474668865363236e-06,6.59788439590528e-05,0.0030446057832940925,0.007875932985386845,0.0020519699700584557,0.00928572186335048,0.0015960785966036646,0.008122736235964627
2008-01-08,0.0,4.925778363517398e-05,2.3083872227471655e-06,5.410885109277726e-05,0.0,6.477931769148912e-05,0.0,0.007018388962943988,0.0015193377579548154,0.007355871878491173,0.0,0.008048559976262158
2008-01-09,0.0,5.433291718011899e-05,9.05157332499076e-06,7.072959979858529e-05,0.0,7.54387054583998e-05,0.0,0.007371086567129638,0.0030085832753957067,0.008410089167100744,0.0,0.008685545777808083
2008-01-10,1.4784241073912907e-05,6.821302608677454e-05,2.398472618263199e-05,0.00014351534069084471,8.629894269342417e-06,0.00010321125600860219,0.0038450280979354244,0.008259117754746843,0.004897420360009133,0.011979788841663475,0.0029376681686913548,0.010159294070387084
2008-01-11,2.904679688388415e-06,4.8926611172812967e-05,2.5178167713799915e-05,0.0001001778729236705,0.0,6.451861314203284e-05,0.0017043120865582145,0.006994755976645144,0.00501778514025859,0.0100088896948498,0.0,0.008032347922122948
2008-01-13,4.772664691374528e-06,1.2870437312900651e-05,1.8502391953688094e-06,3.417883925465885e-06,1.2286398346166496e-07,1.1453509532312082e-06,0.0021846429207938146,0.003587539172315844,0.0013602349779978493,0.0018487519913352047,0.00035051959069596234,0.00107021070506289
2008-01-14,6.391675713271022e-06,3.8685549191404647e-05,6.81364095576811e-06,3.406925882985048e-05,2.02784165482941e-05,7.462449938798677e-05,0.0025281763611882425,0.006219770831100182,0.002610295185561991,0.005836887769166928,0.004503156287349363,0.008638547296159624
2008-01-15,1.65521148708067e-05,9.916757451110718e-05,5.237051232870557e-06,4.2175368294431256e-05,2.921651137080982e-06,6.01347600479661e-05,0.004068429042125068,0.009958291746635423,0.0022884604503618927,0.00649425656210403,0.0017092838082310912,0.007754660537248945
2008-01-16,1.8596632464461238e-05,0.00016423955328690563,1.4712629143805715e-05,8.43494159599147e-05,4.106969225551441e-05,0.00023427477298493604,0.004312381298593764,0.012815598046400551,0.0038357045172700303,0.009184193811103657,0.006408563977640733,0.01530603714175998
2008-01-17,1.295286388462274e-05,0.00011895380962733128,5.7462266171565e-06,7.214403736376764e-05,0.00019552235409715893,0.0005268453534416289,0.0035990087363915553,0.010906594776892157,0.0023971288278180837,0.00849376461669192,0.013982930812142315,0.022953112064415773
2008-01-18,8.838093606973571e-07,0.00012715708580253454,1.4089995729348916e-06,6.990295746201837e-05,0.00013639238022189378,0.00035897170165898436,0.0009401113554772952,0.011276395071233295,0.001187012878167247,0.008360798853101202,0.011678714836055112,0.018946548542121976
2008-01-21,8.0147925468775e-06,9.93827562237939e-05,8.192538030946366e-09,4.70881873349315e-05,5.710109170600677e-05,0.00014298711612669479,0.0028310408945964555,0.00996909003990805,9.051264017222327e-05,0.006862083308655725,0.007556526431238547,0.011957722029161524
2008-01-22,2.8224007354278895e-05,0.0002556219108681417,1.9430263449946803e-05,0.0001483025219501383,0.00016533446495477179,0.0004997499312483788,0.00531262716123378,0.015988180348874656,0.004407977251523289,0.012177952288875922,0.012858245018460793,0.02235508736839064
2008-01-23,0.0,0.00015263724083145085,1.584662816122861e-05,7.403542041720431e-05,0.00030152930207052157,0.00057201543880191,0.0,0.012354644504454624,0.003980782355420679,0.008604383790673468,0.017364599104802897,0.023916844248393434
2008-01-24,1.4056629251528571e-05,8.660497111074064e-05,3.0184205785312165e-05,0.00012308258649905464,0.0001999311514467922,0.0005030710626197071,0.0037492171518236405,0.009306179189696524,0.005494015451863251,0.011094259168554457,0.014139701250266649,0.022429245698857264
2008-01-27,3.072147687001099e-06,7.748454519475228e-06,2.5729802366296585e-06,7.629784970802015e-06,1.4331647591494086e-07,7.065630150653489e-07,0.00175275431450078,0.002783604591078846,0.001604051195139874,0.0027622065402141847,0.0003785716258714338,0.0008405730278002911
2008-01-28,1.676625357176635e-06,6.39201195707181e-05,1.4718090895498407e-06,5.192684491276662e-05,8.895270853946885e-06,9.459076006629334e-05,0.001294845688557766,0.007995005914364172,0.0012131813918577225,0.007206028373019816,0.0029824940660371623,0.009725778121378944
